what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1298023554154
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1298023554155
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1298023554177
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1298023554177
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1298023554178
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1298023554179
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1298023554180
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1298023554198
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1298023554199
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1298023554199
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1298023554199
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1298023554200
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1298023554200
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1298023554200
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1298023554201
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1298023554201
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1298023554202
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1298023554202
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1298023554203
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1298023554204
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1298023554204
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1298023554205
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1298023554218
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1298023554218
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1298023554219
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1298023554220
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1298023554220
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1298023554221
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1298023554222
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1298023554222
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1298023554222
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1298023554223
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1298023554223
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1298023554224
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1298023554224
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1298023554225
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1298023554246
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1298023554247
os,sysinfo,,,"win32",1298023554249
arch,sysinfo,,,"x86",1298023554249
ws,sysinfo,,,"win32",1298023554249
locale,sysinfo,,,"nl_NL",1298023554249
processors,sysinfo,,,"2",1298023554249
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298023554249
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1298023554249
java.specification.name,sysinfo,,,"Java Platform API Specification",1298023554249
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298023554249
java.specification.version,sysinfo,,,"1.6",1298023554249
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298023554249
java.version,sysinfo,,,"1.6.0_22",1298023554249
java.vm.info,sysinfo,,,"mixed mode, sharing",1298023554249
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1298023554249
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298023554249
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298023554249
java.vm.specification.version,sysinfo,,,"1.0",1298023554249
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298023554249
java.vm.version,sysinfo,,,"17.1-b03",1298023554249
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298023558381
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1298023558395
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1298023558439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298023573665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298023581742
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298023581825
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1298023582525
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1298023582705
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1298023582741
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1298023582797
